ID,Título,Autor,Categorías,Fecha,Hora,Vistas,Topico_Final,solo_fecha,fecha_dia
5284,El ministro de Macri que denunció a Cristina y se quedó con cuatro áreas claves de YPF,Francis Dinatale,"DESTACADAS, NACIONALES",2025-06-26,11:19:24,1,Política,2025-06-26,2025-06-26
5281,Arrancó el descuento en YPF por cargar nafta de madrugada: de cuánto es la rebaja,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-06-26,09:34:14,0,Precios y costo de vida,2025-06-26,2025-06-26
5277,Air Europa sumó una nueva frecuencia para su ruta Córdoba – Madrid,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-06-26,09:28:26,2,Turismo y viajes,2025-06-26,2025-06-26
5274,Javier Milei apuntó contra el Chiqui Tapia tras la eliminación de Boca y River del Mundial de Clubes: &#8220;Fracaso&#8221;,Francis Dinatale,"DESTACADAS, NACIONALES",2025-06-26,09:24:04,1,Política,2025-06-26,2025-06-26
5269,Gallardo lamentó la eliminación de River contra Inter y criticó a la FIFA: &#8220;Fue algo insólito&#8221;,Francis Dinatale,"DEPORTES, DESTACADAS",2025-06-26,09:17:46,1,Deportes,2025-06-26,2025-06-26
5265,Sebastián Almuna lanza su proyecto político en Villa General Belgrano con miras a 2027,Jose Manuel Ferrero,"DESTACADAS, POLITICA",2025-06-26,07:24:19,3,Política,2025-06-26,2025-06-26
5262,Condenan a nueve personas por millonaria estafa inmobiliaria en Calamuchita,Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2025-06-26,07:12:30,5,Policial,2025-06-26,2025-06-26
5259,Arrestan a un policía en Córdoba por integrar una red de estafas a través de Tinder,Jose Manuel Ferrero,"DESTACADAS, POLICIALES",2025-06-26,07:01:13,4,Policial,2025-06-26,2025-06-26
5256,Turismo en acción: Calamuchita avanza hacia una marca regional unificada,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-06-26,06:45:42,3,Eventos locales,2025-06-26,2025-06-26
5252,Aumento de combustibles: los 12 trucos para ahorrar hasta 40% de nafta y gasoil,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-06-25,11:29:08,4,Precios y costo de vida,2025-06-25,2025-06-25
