ID,Título,Autor,Categorías,Fecha,Hora,Vistas,Topico_Final,solo_fecha,dia_semana_es
9149,Trabajan contrarreloj para que la ley de equidad jubilatoria empiece a aplicarse desde el próximo pago de haberes,Francis Dinatale,"DESTACADAS, POLITICA",2025-12-22,09:04:12,1,Política,2025-12-22,Lunes
9145,Milei dijo que no vetará la ley de presupuesto y anticipó que “acomodará” las partidas para mantener el déficit cero,Francis Dinatale,"DESTACADAS, POLITICA",2025-12-22,09:00:58,1,Política,2025-12-22,Lunes
9138,Exitoso rescate en el Champaquí: evacuaron a una mujer lesionada en la zona del &#8220;avión caído&#8221;,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-12-22,06:46:14,4,Otros,2025-12-22,Lunes
9135,Clausura 2025: Un empate que dejó todo en suspenso para la vuelta,Jose Manuel Ferrero,"DEPORTES, DESTACADAS",2025-12-22,06:39:12,5,Deportes,2025-12-22,Lunes
9132,Santa Rosa de Calamuchita: Los ríos registran crecidas moderadas y comienzan a bajar tras las lluvias,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-12-22,06:30:14,6,Eventos locales,2025-12-22,Lunes
9126,Estudiantes se lo dio vuelta a Platense sobre la hora y se consagró campeón del Trofeo de Campeones,Francis Dinatale,"DEPORTES, DESTACADAS",2025-12-21,11:59:42,2,Deportes,2025-12-21,Domingo
9123,Informe del Banco Central: la morosidad en préstamos personales y tarjetas de crédito es récord desde 2010,Francis Dinatale,"DESTACADAS, INTERÉS GENERAL",2025-12-21,11:39:03,6,Finanzas,2025-12-21,Domingo
9118,Reforma laboral: Patricia Bullrich pasó el debate para febrero con un dictamen sujeto a cambios,Francis Dinatale,"DESTACADAS, POLITICA",2025-12-19,09:37:06,4,Política,2025-12-19,Viernes
9115,Mendoza: hallaron sin vida a un soldado del Ejército,Francis Dinatale,"DESTACADAS, NACIONALES, POLICIALES",2025-12-19,09:31:35,4,Policial,2025-12-19,Viernes
9112,Santa Rosa de Calamuchita lanza su Mapa de Planeamiento Urbano Online,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-12-19,06:23:40,7,Eventos locales,2025-12-19,Viernes
9109,Almafuerte vibró al ritmo de una nueva edición de &#8220;Nochecitas Peatonales&#8221;,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-12-19,06:19:33,6,Otros,2025-12-19,Viernes
9106,Los Reartes: Concluye una obra vial estratégica en la intersección de Cerro Negro y Costanera,Jose Manuel Ferrero,"DESTACADAS, INTERÉS GENERAL",2025-12-19,06:15:18,5,Eventos locales,2025-12-19,Viernes
